"Ia","Ib","Ic","Ua","Ub","Uc"
"184.8","413.129","-599.45","-49539.169","170305.373","-120744.698"
"140.912","447.554","-586.532","-62632.877","172987.242","-110429.731"
"92.147","477.675","-569.308","-75206.306","174630.968","-99421.32"
"43.383","507.797","-552.084","-87432.881","175236.552","-87806.146"
"-0.504","529.312","-530.555","-99052.463","174717.48","-75584.21"
"-49.269","555.13","-504.719","-110065.052","173073.754","-63015.552"
"-98.033","572.343","-474.578","-120470.648","170391.885","-49926.812"
"-141.921","585.252","-444.436","-130095.824","166671.873","-36664.71"
"-190.686","598.161","-409.989","-138853.868","162000.231","-23055.888"
"-234.574","606.767","-371.235","-146831.491","156203.934","-9360.384"
"-278.462","611.07","-332.482","-153855.269","149542.517","4421.798"
"-317.474","611.07","-293.729","-160011.913","141842.958","18117.301"
"-356.485","606.767","-250.669","-165127.998","133364.792","31726.124"
"-395.497","602.464","-203.304","-169203.523","124021.507","45161.586"
"-429.632","589.555","-160.245","-172238.488","113986.126","58337.007"
"-463.767","576.646","-112.879","-174232.894","103172.139","71079.026"
"-493.026","559.433","-65.514","-175186.74","91752.568","83474.323"
"-517.408","537.918","-18.149","-175013.314","79727.414","95262.858"
"-541.79","512.1","29.215","-173799.328","67269.7","106531.309"
"-561.296","486.281","76.58","-171458.069","54379.427","117106.318"
"-575.925","451.857","123.946","-168076.25","41143.107","126987.884"
"-590.555","421.735","171.311","-163653.871","27647.25","136089.326"
"-600.308","383.008","214.37","-158277.647","13978.37","144323.964"
"-605.184","344.28","257.43","-151860.863","222.978","151691.798"
"-605.184","305.552","300.489","-144576.946","-13532.413","158106.148"
"-605.184","262.522","339.242","-136339.182","-27201.293","163567.013"
"-600.308","219.491","377.996","-127320.999","-40697.15","167987.713"
"-590.555","176.46","412.443","-117435.683","-53933.471","171368.249"
"-575.925","129.126","446.89","-106856.66","-66910.256","173795.3"
"-561.296","81.793","477.032","-95670.644","-79367.969","175008.826"
"-536.914","34.459","502.868","-83790.922","-91393.123","175268.867"
"-517.408","-12.874","528.703","-71477.634","-102899.206","174315.382"
"-488.149","-60.208","550.233","-58730.779","-113713.194","172408.414"
"-458.891","-107.541","567.456","-45550.357","-123835.086","169374.6"
"-424.755","-154.875","580.374","-32109.795","-133178.371","165300.621"
"-390.62","-197.906","593.292","-18495.807","-141743.049","160273.158"
"-356.485","-245.24","597.598","-4795.106","-149356.096","154205.529"
"-312.597","-288.27","601.904","8992.308","-156104.025","147184.417"
"-273.585","-326.998","601.904","22693.009","-161900.322","139209.82"
"-229.697","-365.726","597.598","36220.284","-166658.476","130455.1"
"-185.809","-404.453","588.986","49574.132","-170465.0","120833.576"
"-137.045","-438.878","576.068","62667.84","-173146.869","110518.608"
"-93.157","-468.999","558.845","75327.982","-174790.595","99510.197"
"-44.392","-494.818","541.621","87467.844","-175309.666","87808.343"
"4.371","-520.636","520.091","99174.14","-174790.595","75673.087"
"48.259","-542.152","494.256","110186.729","-173233.381","63017.749"
