"Ia","Ib","Ic","Ua","Ub","Uc"
"278.093","325.699","-604.808","-19731.617","158972.314","-139248.12"
"268.339","334.308","-604.808","-22421.181","160096.969","-137687.483"
"263.462","342.916","-604.808","-25110.744","161135.112","-135953.444"
"253.708","351.525","-604.808","-27800.307","162086.743","-134306.106"
"243.954","360.134","-604.808","-30489.87","163038.374","-132572.066"
"234.2","364.438","-600.501","-33179.433","163990.005","-130751.323"
"229.323","373.047","-600.501","-35868.996","164855.124","-128930.581"
"219.569","381.655","-600.501","-38471.799","165633.731","-127109.839"
"209.815","385.959","-596.194","-41161.362","166412.338","-125289.098"
"200.061","394.568","-596.194","-43764.165","167190.945","-123381.654"
"190.307","403.177","-596.194","-46453.728","167883.04","-121474.21"
"185.43","407.481","-591.887","-49056.531","168575.135","-119480.064"
"175.676","416.09","-591.887","-51659.334","169180.719","-117485.918"
"165.922","424.698","-587.58","-54262.137","169699.79","-115491.772"
"156.168","429.002","-587.58","-56864.94","170305.373","-113410.924"
"146.414","437.611","-583.273","-59380.983","170737.933","-111330.075"
"136.66","441.915","-583.273","-61983.786","171257.004","-109249.227"
"126.906","450.524","-578.966","-64499.829","171603.052","-107168.379"
"122.029","454.828","-574.659","-67015.872","172035.611","-105000.83"
"112.274","463.437","-570.352","-69531.915","172295.147","-102833.279"
"102.52","467.741","-570.352","-71961.198","172641.195","-100579.028"
"92.766","472.045","-566.045","-74477.241","172814.218","-98411.477"
"83.012","480.654","-561.738","-76906.523","173073.754","-96157.226"
"73.258","484.958","-557.431","-79335.806","173246.778","-93816.271"
"63.504","489.263","-553.124","-81765.089","173333.29","-91562.019"
"53.75","497.871","-553.124","-84194.372","173419.802","-89221.066"
"43.996","502.176","-548.817","-86536.894","173419.802","-86880.112"
"34.242","506.48","-544.51","-88879.417","173419.802","-84539.157"
"24.488","510.784","-540.203","-91221.94","173333.29","-82111.501"
"14.734","519.393","-535.896","-93477.702","173246.778","-79683.845"
"4.98","523.697","-531.589","-95820.225","173073.754","-77256.189"
"0.103","528.001","-522.975","-98075.988","172900.73","-74828.533"
"-9.65","532.306","-518.668","-100331.75","172641.195","-72400.877"
"-19.404","536.61","-514.361","-102500.753","172381.659","-69886.519"
"-29.158","540.914","-510.054","-104669.755","172122.123","-67372.161"
"-38.912","545.219","-505.747","-106838.758","171776.076","-64857.803"
"-48.666","549.523","-501.44","-109007.76","171343.516","-62343.445"
"-58.42","553.827","-492.826","-111090.003","170910.957","-59829.087"
"-68.174","558.131","-488.519","-113172.245","170391.885","-57228.027"
"-77.928","562.436","-484.212","-115254.488","169872.814","-54626.967"
"-87.682","562.436","-475.599","-117249.97","169353.742","-52025.907"
"-97.436","566.74","-471.292","-119245.452","168748.159","-49424.847"
"-107.19","571.044","-466.985","-121240.934","168056.064","-46823.787"
"-116.944","575.349","-458.371","-123149.657","167363.969","-44222.727"
"-121.821","575.349","-454.064","-125058.379","166585.362","-41534.966"
"-131.576","579.653","-445.45","-126967.101","165893.266","-38933.905"
"-141.33","583.957","-441.143","-128789.063","165028.147","-36246.143"
"-151.084","583.957","-432.529","-130611.025","164163.028","-33558.381"
"-160.838","588.262","-428.222","-132346.227","163297.909","-30957.321"
"-170.592","588.262","-419.608","-134081.429","162346.278","-28269.559"
"-180.346","592.566","-415.301","-135816.631","161394.648","-25581.797"
"-185.223","592.566","-406.687","-137465.073","160356.505","-22807.333"
"-194.977","596.87","-398.073","-139113.515","159318.362","-20119.571"
"-204.731","596.87","-393.766","-140761.957","158193.707","-17431.809"
"-214.485","596.87","-385.152","-142323.639","157069.053","-14744.047"
"-224.239","601.174","-376.538","-143885.321","155857.886","-11969.583"
"-233.993","601.174","-367.924","-145360.242","154646.719","-9281.821"
"-238.87","601.174","-363.617","-146835.164","153435.553","-6594.059"
"-248.624","605.479","-355.003","-148310.086","152137.874","-3819.595"
"-258.378","605.479","-346.389","-149698.247","150840.196","-1131.833"
"-268.132","605.479","-337.775","-151086.409","149456.005","1642.63"
"-273.009","605.479","-333.469","-152387.81","148071.815","4330.392"
"-282.763","605.479","-324.855","-153689.212","146601.113","7104.856"
"-292.517","605.479","-316.241","-154903.853","145130.41","9792.618"
"-297.394","605.479","-307.627","-156118.495","143659.708","12480.38"
"-307.148","605.479","-299.013","-157333.136","142102.494","15254.844"
"-316.902","605.479","-290.399","-158461.017","140458.768","17942.606"
"-321.779","605.479","-281.785","-159502.139","138901.554","20630.368"
"-331.533","605.479","-273.171","-160543.26","137257.827","23318.13"
"-341.287","605.479","-264.557","-161584.381","135527.589","26005.892"
"-346.164","605.479","-255.943","-162538.742","133797.351","28780.356"
"-355.918","601.174","-247.329","-163493.103","132067.113","31381.416"
"-360.795","601.174","-238.715","-164360.704","130336.875","34069.178"
"-370.549","601.174","-230.101","-165228.305","128520.126","36756.94"
"-375.427","601.174","-221.487","-166095.906","126616.864","39444.702"
"-385.181","596.87","-212.873","-166876.747","124800.114","42045.762"
"-390.058","596.87","-204.259","-167570.828","122810.34","44733.524"
"-399.812","592.566","-195.645","-168264.909","120907.078","47334.584"
"-404.689","592.566","-187.032","-168872.229","118917.305","49935.644"
"-414.443","588.262","-178.418","-169479.55","116927.531","52536.704"
"-419.32","588.262","-169.804","-170086.871","114937.757","55137.764"
"-424.197","583.957","-161.19","-170607.431","112861.472","57738.824"
"-433.951","583.957","-152.576","-171127.992","110785.186","60339.884"
"-438.828","579.653","-139.655","-171561.793","108708.9","62854.242"
"-443.705","579.653","-131.041","-171908.833","106546.103","65368.6"
"-453.459","575.349","-122.427","-172255.873","104383.305","67882.958"
"-458.336","571.044","-113.813","-172602.914","102220.508","70397.316"
"-463.213","566.74","-105.199","-172863.194","99971.198","72911.674"
"-468.09","566.74","-96.585","-173123.474","97721.889","75339.33"
"-477.844","562.436","-83.664","-173296.994","95472.58","77766.986"
"-482.721","558.131","-75.05","-173383.755","93136.758","80194.641"
"-487.598","553.827","-66.436","-173470.515","90887.449","82622.298"
"-492.475","549.523","-57.822","-173557.275","88551.628","85049.954"
"-497.352","545.219","-49.208","-173557.275","86215.806","87390.908"
"-502.229","540.914","-40.595","-173557.275","83793.473","89731.862"
"-507.106","536.61","-27.674","-173470.515","81371.14","92072.815"
"-511.983","532.306","-19.06","-173383.755","78948.807","94413.77"
"-516.86","528.001","-10.446","-173210.234","76526.474","96668.022"
"-521.737","523.697","-1.832","-173036.714","74104.14","98922.274"
"-526.614","519.393","6.781","-172776.434","71595.295","101176.526"
"-531.491","515.088","19.702","-172429.394","69086.45","103344.076"
"-536.368","510.784","28.316","-172169.113","66577.605","105511.626"
"-541.245","502.176","36.93","-171735.313","64068.76","107679.176"
"-546.122","497.871","45.544","-171388.272","61559.915","109760.023"
"-546.122","493.567","54.158","-170867.712","58964.558","111927.574"
"-550.999","484.958","67.079","-170433.911","56455.713","114008.422"
"-555.876","480.654","75.693","-169826.59","53860.356","116002.568"
"-560.753","476.35","84.307","-169306.03","51264.999","117996.714"
"-560.753","467.741","92.921","-168611.949","48669.642","119990.86"
"-565.63","463.437","101.534","-168004.628","45987.773","121985.006"
"-570.507","459.133","110.148","-167310.548","43392.416","123892.45"
"-570.507","450.524","118.762","-166529.707","40710.547","125799.894"
"-575.384","446.22","131.683","-165748.866","38028.678","127707.338"
"-575.384","437.611","140.297","-164881.265","35433.321","129528.079"
"-580.261","433.307","148.911","-164013.664","32751.452","131262.12"
"-580.261","424.698","157.525","-163146.063","30069.583","133082.862"
"-585.138","416.09","166.139","-162191.702","27387.714","134816.902"
"-585.138","411.785","174.753","-161150.581","24705.846","136550.942"
"-590.015","403.177","183.367","-160109.459","21937.465","138198.28"
"-590.015","398.872","191.981","-159068.338","19255.596","139845.618"
"-590.015","390.264","200.595","-157940.457","16573.727","141406.254"
"-594.892","381.655","209.209","-156812.575","13805.346","142966.89"
"-594.892","373.047","217.823","-155597.934","11123.477","144527.526"
