"Ia","Ib","Ic","Ua","Ub","Uc"
"57.522","186.243","218.432","31923.73","67528.01","39625.172"
"55.526","188.381","217.121","32773.2","67595.291","38812.374"
"53.661","190.468","215.761","33620.56","67646.615","37992.948"
"51.946","192.52","214.35","34464.557","67681.905","37167.83"
"50.508","194.521","212.889","35304.747","67701.116","36337.927"
"49.256","196.467","211.379","36141.528","67704.294","35503.49"
"48.206","198.374","209.82","36973.905","67691.495","34664.828"
"47.374","200.245","208.213","37801.612","67662.719","33822.308"
"46.891","202.068","206.568","38623.717","67617.974","32977.067"
"46.648","203.841","204.87","39439.263","67557.243","32129.512"
"46.77","205.56","203.122","40248.624","67480.458","31280.116"
"47.134","207.24","201.325","41050.986","67387.696","30430.224"
"47.736","208.872","199.492","41846.146","67279.016","29579.558"
"48.565","210.452","197.608","42633.952","67154.506","28729.684"
"49.609","211.981","195.686","43414.308","67014.097","27882.233"
"50.966","213.457","193.711","44186.572","66857.795","27037.055"
"52.504","214.879","191.698","44950.056","66685.556","26196.07"
"54.206","216.262","189.632","45705.157","66497.423","25360.313"
"56.054","217.597","187.516","46450.772","66293.535","24530.963"
"58.131","218.887","185.38","47186.714","66073.972","23709.359"
"60.32","220.131","183.189","47913.381","65838.737","22897.019"
"62.7","221.318","180.945","48629.799","65587.949","22095.661"
"65.164","222.453","178.668","49336.324","65321.632","21308.488"
"67.613","223.537","176.357","50032.025","65039.983","20537.715"
"70.206","224.562","174.01","50717.221","64742.799","19785.854"
"72.852","225.531","171.625","51391.483","64430.531","19055.742"
"75.617","226.447","169.184","52054.776","64103.029","18350.567"
"78.345","227.313","166.71","52706.242","63760.514","17673.899"
"81.173","228.131","164.202","53346.564","63403.229","17031.346"
"84.025","228.903","161.642","53975.058","63030.863","16425.65"
"86.896","229.626","159.054","54591.67","62643.95","15863.34"
"89.846","230.302","156.459","55196.015","62242.267","15349.594"
"92.745","230.929","153.83","55788.036","61825.925","14889.828"
"95.71","231.509","151.167","56367.361","61395.352","14487.549"
"98.623","232.033","148.471","56934.301","60950.523","14152.102"
"101.589","232.497","145.718","57488.28","60491.491","13884.376"
"104.554","232.906","142.94","58028.885","60018.53","13692.841"
"107.517","233.258","140.138","58556.325","59531.855","13576.555"
"110.473","233.558","137.313","59070.346","59031.457","13541.897"
"113.421","233.805","134.494","59570.636","58517.402","13585.209"
"116.36","233.999","131.649","60057.452","57990.192","13707.869"
"119.287","234.137","128.779","60530.339","57449.562","13907.689"
"122.201","234.22","125.917","60989.244","56896.054","14181.267"
"125.101","234.247","123.029","61434.189","56329.387","14524.245"
"128.028","234.218","120.116","61864.993","55749.922","14931.607"
"130.903","234.133","117.216","62281.409","55157.73","15396.035"
"133.762","233.996","114.255","62683.136","54553.429","15915.889"
"136.603","233.808","111.276","63070.328","53936.447","16482.044"
"139.427","233.567","108.323","63442.856","53307.841","17091.196"
"142.232","233.274","105.353","63800.532","52667.265","17736.845"
"144.984","232.928","102.411","64143.345","52015.13","18416.275"
"147.711","232.525","99.455","64471.135","51351.493","19123.91"
"150.414","232.066","96.534","64783.686","50676.781","19856.21"
"153.094","231.547","93.601","65080.938","49991.041","20611.461"
"155.752","230.972","90.71","65362.912","49294.385","21385.418"
"158.388","230.342","87.762","65629.514","48587.325","22174.255"
"161.006","229.654","84.868","65880.786","47869.962","22977.092"
"163.544","228.913","82.034","66116.666","47142.824","23791.993"
"166.051","228.114","79.206","66337.039","46405.997","24616.053"
